sample,along_scan,along_track,scan_angle,pix_area
121,0.697274,0.74658,54.984,0.520570823
122,0.696563,0.746299,54.9751,0.51984427
123,0.695853,0.746017,54.9662,0.519118168
124,0.695145,0.745736,54.9573,0.518394652
125,0.694438,0.745455,54.9484,0.517672279
126,0.693732,0.745174,54.9395,0.516951049
127,0.693027,0.744894,54.9306,0.516231654
128,0.692325,0.744615,54.9217,0.51551558
129,0.691624,0.744335,54.9128,0.51479995
130,0.690924,0.744056,54.9039,0.514086148
131,0.690225,0.743777,54.8951,0.51337348
132,0.689528,0.743498,54.8862,0.512662689
133,0.688833,0.74322,54.8773,0.511954462
134,0.688138,0.742942,54.8684,0.511246622
135,0.687446,0.742664,54.8595,0.510541396
136,0.686753,0.742387,54.8506,0.509836499
137,0.686064,0.74211,54.8417,0.509134955
138,0.685375,0.741833,54.8328,0.508433792
139,0.684688,0.741557,54.8239,0.507735179
140,0.684001,0.74128,54.815,0.507036261
141,0.683317,0.741005,54.8061,0.506341314
142,0.682634,0.740729,54.7972,0.5056468
143,0.681952,0.740454,54.7883,0.504954086
144,0.681271,0.740179,54.7794,0.504262488
145,0.680592,0.739904,54.7706,0.503572743
146,0.679915,0.73963,54.7617,0.502885531
147,0.679238,0.739356,54.7528,0.502198691
148,0.678563,0.739083,54.7439,0.501514378
149,0.677889,0.738809,54.735,0.500830494
150,0.677216,0.738536,54.7261,0.500148396
151,0.676546,0.738264,54.7172,0.499469556
152,0.675876,0.737991,54.7083,0.498790405
153,0.675207,0.737718,54.6994,0.498112358
154,0.674539,0.737447,54.6905,0.497436762
155,0.673873,0.737175,54.6816,0.496762329
156,0.673209,0.736904,54.6727,0.496090405
157,0.672546,0.736633,54.6638,0.495419578
158,0.671884,0.736362,54.6549,0.494749846
159,0.671223,0.736092,54.6461,0.494081881
160,0.670564,0.735821,54.6372,0.493415073
161,0.669906,0.735552,54.6283,0.492750698
162,0.66925,0.735283,54.6194,0.492088148
163,0.668593,0.735013,54.6105,0.491424547
164,0.667939,0.734744,54.6016,0.490764173
165,0.667286,0.734475,54.5927,0.490104885
166,0.666635,0.734207,54.5838,0.489448083
